FID,osm_id,code,fclass,name,shape@x,shape@y
1819,"12176634008",3500,hindu,Goud Babba Ka Mandir,78.7386765000,23.8480899000
1388,"11230838534",3500,hindu,Shri Hanuman Temple,79.9051218000,23.3941512000
1726,"12107945028",3500,hindu,Rajmandir Bansa,78.5446705000,23.7052700000
1457,"11580604439",3500,hindu,Shri Kamandalnath Shiv Temple,78.3565750000,22.7542500000
1740,"12151057007",3500,hindu,Harsiddhi Mata Mandir,78.6898818000,23.8258751000
1846,"12189876919",3500,hindu,Maihar Mandir,78.6628259000,23.9855671000
1683,"12076847626",3500,hindu,,78.9443861000,23.5295142000
1704,"12101776213",3500,hindu,Shri Krisna Temple Gobardhan Parvat,78.5663632000,23.6244465000
1782,"12172255095",3500,hindu,Shitla Mata Mandir,78.2975087000,24.2121673000
1649,"11812626840",3500,hindu,Shiv Temple,78.3532318000,22.7300981000
1869,"12210713411",3500,hindu,Shiv Mandir Rajkumar Tiwari,78.5812490000,24.2154767000
21,"1124756065",3500,hindu,Matangeshwar Temple,79.9216142000,24.8520155000
64,"2068021610",3500,hindu,,80.1630170000,24.2743839000
1256,"10755632960",3500,hindu,Sangam (Narmada Mandir),80.6910451000,22.1182334000
1728,"12108154238",3500,hindu,Siv Darvar,78.5875761000,23.6720284000
1654,"11939626484",3500,hindu,MANDIR,78.7431480000,23.8392680000
1099,"9465992277",3800,sikh,Sant Nagar Gurudwara,75.8754539000,22.6735640000
1800,"12174716496",3500,hindu,Thakur Baba Mandir Dhanagar,78.3330272000,24.0929053000
