FID,osm_id,code,fclass,name
1000,"8609679300",3500,hindu,Sai Mandir
15,"1109061982",3500,hindu,Teli-ka-Mandir
937,"8121815738",3500,hindu,hanuman temple
1892,"12391616664",3500,hindu,Hanuman Temple
1495,"11690381770",3500,hindu,Shree Bada Ganpati Mandir
24,"1124758825",3400,buddhist,Northern Gate
25,"1124758834",3400,buddhist,Eastern Gate
1258,"10767743909",3100,christian,Khan House 55
476,"5222206523",3500,hindu,Shiv Temple STP
1514,"11690576036",3500,hindu,Ram mandir
1718,"12107599371",3500,hindu,Ram Mandir
710,"7125742861",3500,hindu,Sheetla Devi
1840,"12189765849",3500,hindu,Raj Mandir
1773,"12161667775",3500,hindu,Rajputon Ka Mandir Bardha
280,"4040606161",3800,sikh,Gurudwara
508,"5327363619",3300,muslim,Jama Masjiz
1916,"12555791179",3500,hindu,Santoshi Maa Mandir
1200,"10032755333",3400,buddhist,Tantiya Bhil Temple
167,"3276693151",3500,hindu,
1593,"11698105136",3100,christian,
1686,"12086960059",3500,hindu,Van Devi Mandir  Guru Chopda
